Magnitude,Date,Year,Month,Day,Northing,Easting,Depth,snr
2.121707385,11:46:23 AM,2017,10,18,-8.301703,115.422729,-10059,8.510470847
2.07094836,11:48:15 AM,2017,10,18,-8.28304,115.487215,-1135,40.53140051
1.911737164,11:52:01 AM,2017,10,18,-8.298127,115.462386,-9769,2.14731262
1.791810589,11:54:22 AM,2017,10,18,-8.29928,115.433887,-9948,3.617321037
1.589009331,11:54:50 AM,2017,10,18,-8.326058,115.401758,-4659,2.748198879
2.088994683,12:06:38 PM,2017,10,18,-8.305042,115.446069,-9197,3.317712105
1.563320427,12:13:15 PM,2017,10,18,-8.334683,115.402295,-2075,5.097463571
2.544413212,12:15:00 PM,2017,10,18,-8.317241,115.399105,-5283,45.00665273
1.445293227,12:18:56 PM,2017,10,18,-8.323167,115.453662,-10043,2.082941775
1.464970505,12:21:57 PM,2017,10,18,-8.28385,115.488892,-811,4.129245144
1.637778016,12:28:42 PM,2017,10,18,-8.340274,115.39589,-2140,3.468999299
1.918744648,12:30:11 PM,2017,10,18,-8.295277,115.437622,-10625,5.020491268
2.230615583,12:36:36 PM,2017,10,18,-8.301677,115.464478,-11050,18.0008155
1.387223353,12:48:09 PM,2017,10,18,-8.2828,115.492285,-774,3.405170695
1.883728741,1:01:12 PM,2017,10,18,-8.320717,115.404403,-5181,4.922293785
1.787305155,1:02:11 PM,2017,10,18,-8.326894,115.401278,-3970,4.372588776
1.81323154,1:07:56 PM,2017,10,18,-8.339663,115.410197,-944,8.582117475
2.412347986,1:13:28 PM,2017,10,18,-8.277059,115.437533,-8602,5.233460087
2.139148294,1:16:10 PM,2017,10,18,-8.276544,115.394548,-7623,5.312340685
1.699171484,1:20:25 PM,2017,10,18,-8.330069,115.392399,-4535,4.511555795
1.580862027,1:25:13 PM,2017,10,18,-8.341508,115.402238,-1096,2.77294738
2.521766382,1:36:13 PM,2017,10,18,-8.292391,115.432308,-10010,17.25830294
1.747427214,1:39:06 PM,2017,10,18,-8.307894,115.454411,-10888,2.314655104
1.8973385,1:41:09 PM,2017,10,18,-8.301103,115.413949,-9214,3.284438674
1.82674347,1:54:40 PM,2017,10,18,-8.341216,115.396655,-1102,3.491857526
2.188295264,1:56:36 PM,2017,10,18,-8.28849,115.501351,-9355,4.496079686
1.93634576,1:58:39 PM,2017,10,18,-8.33559,115.400415,-2298,12.17771731
1.826522802,2:06:09 PM,2017,10,18,-8.334832,115.401693,-2207,7.857068388
1.262375124,2:08:46 PM,2017,10,18,-8.284809,115.486727,-1035,2.979367065
1.689532229,2:17:05 PM,2017,10,18,-8.31413,115.399186,-5706,2.460742871
2.610953408,2:18:50 PM,2017,10,18,-8.317452,115.401164,-7174,55.08605983
1.919002036,2:20:21 PM,2017,10,18,-8.333945,115.397762,-2348,8.901947914
1.647716951,2:34:19 PM,2017,10,18,-8.301962,115.466488,-9335,2.283212809
1.667937659,2:48:40 PM,2017,10,18,-8.33576,115.398828,-2229,4.581812965
2.237002759,2:50:15 PM,2017,10,18,-8.300829,115.471965,-10094,17.80528855
1.406970685,2:56:47 PM,2017,10,18,-8.333403,115.400952,-2176,2.921466769
1.766762878,3:07:38 PM,2017,10,18,-8.320829,115.408569,-4714,3.579329073
1.649417585,3:08:45 PM,2017,10,18,-8.339821,115.397526,-1411,4.165364819
2.011585862,3:16:19 PM,2017,10,18,-8.300027,115.423063,-9644,2.076089789
1.476326598,3:21:01 PM,2017,10,18,-8.273531,115.48339,-1150,4.730807375
1.802210419,3:21:45 PM,2017,10,18,-8.304271,115.460994,-10675,3.412594065
1.612434625,3:22:49 PM,2017,10,18,-8.333394,115.398096,-2224,3.98986657
1.786988302,3:29:18 PM,2017,10,18,-8.337671,115.395345,-1981,7.360033834
1.682261952,3:34:56 PM,2017,10,18,-8.328645,115.399674,-2002,3.353290741
1.572009484,3:42:25 PM,2017,10,18,-8.282303,115.491911,-904,4.002573
2.100348894,3:45:23 PM,2017,10,18,-8.294433,115.435677,-11297,7.073384222
2.022295301,3:51:21 PM,2017,10,18,-8.321674,115.397957,-4333,10.56257956
2.004063264,3:58:01 PM,2017,10,18,-8.297579,115.468571,-9846,9.502698255
1.830162182,4:06:22 PM,2017,10,18,-8.304479,115.455688,-10930,2.984617599
1.77005164,4:11:02 PM,2017,10,18,-8.337182,115.396118,-2075,8.474825446
1.872401834,4:18:15 PM,2017,10,18,-8.333684,115.389355,-2927,5.820876033
2.128595845,4:22:10 PM,2017,10,18,-8.27173,115.48606,-2650,8.217579475
2.015046062,4:24:33 PM,2017,10,18,-8.327248,115.397591,-4073,10.01657169
1.639074899,4:24:59 PM,2017,10,18,-8.285952,115.435636,-11564,3.212340492
1.972125065,4:26:48 PM,2017,10,18,-8.314618,115.443188,-9680,2.52970454
1.388473705,4:32:42 PM,2017,10,18,-8.328411,115.399113,-3625,2.516188006
2.144546421,4:37:41 PM,2017,10,18,-8.311446,115.44493,-9607,13.03540548
1.708152359,4:43:31 PM,2017,10,18,-8.287444,115.467326,-5397,3.65817156
1.50050366,4:45:34 PM,2017,10,18,-8.278091,115.469206,-4527,3.574219667
1.418134503,5:03:20 PM,2017,10,18,-8.33891,115.394344,-2107,3.013263424
1.640530528,5:07:16 PM,2017,10,18,-8.302928,115.470207,-9999,3.796187036
